,common_keywords_id,common_keywords
0,C1,['stage olubowale irap akintimehin police born bio']
1,C2,['irap million akintimehin today folarin bio officer']
2,C3,['home akintimehin stopdvbypolice repercution wife downtown']
3,C4,['high back state city playing football found']
4,C5,['detroit travelin album live rock']
5,C6,['jealousy home boyfriend rivalry newsom sister authorities monday year-old sibling']
6,C7,['week july october brother price']
7,C8,['city today visit time fbi']
8,C9,['band classic usa rock finally']
9,C10,['award autumn back hair shakespeare paltrow gwyneth birth rat']
10,C11,['appointment entry international released flight game']
11,C12,['appointment entry global mesa score']
12,C13,['cfp decolonization survivor time discontents']
13,C14,['month tour show mexico july']
14,C15,['fuck show visit year company']
15,C16,['quarter including october year told']
16,C17,['state abortions year performed number']
17,C18,['popular governor day visit october']
18,C19,['annual industry tickets summit antonio company']
19,C20,['department cakeshop justice springs court day lgbtq civil']
20,C21,['appointment tuesday international port october']
21,C22,['babcock benefits ian families holidays']
22,C23,['governor queen attacks year world']
23,C24,['scoop history contact estate discuss']
24,C25,['week sec buyer penn florida lsu']
25,C26,['area including city tourists attacks place october time kazakhstan year chinese spend pandemic service world millions']
26,C27,['affordable development largest veterans housing time']
27,C28,['jarrett sheriff employees county proctor camden office']
